state_abb,enactment_year,first_effective_year,target_pct,target_year,mandatory,statute,notes,source_name,source_url,access_date,verification_status
DC,2016,2016,50.0,2032,1,RPS Expansion Act of 2016,Raised to 50% by 2032,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
DC,2018,2018,100.0,2032,1,Clean Energy DC Omnibus Act,100% renewable by 2032,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
DE,2005,2007,10.0,2019,1,Delaware RPS Act,Original 10% target,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
DE,2010,2010,25.0,2026,1,SB 119,Raised to 25% by 2026,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
DE,2021,2021,40.0,2035,1,SB 33,Raised to 40% by 2035,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
HI,2001,2001,7.0,2003,1,Act 272 (2001),First HI target,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
HI,2009,2009,40.0,2030,1,Act 155 (2009),Raised to 40% by 2030,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
HI,2015,2015,100.0,2045,1,HB 623 (2015),First 100% RPS in US,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
IA,1983,1983,0.0,NA,1,Iowa Code Chapter 476.41,First RPS in US (105 MW capacity requirement not percentage),LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
IL,2007,2008,25.0,2025,1,Illinois Power Agency Act,Original 25% by 2025 target,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
IL,2021,2021,50.0,2040,1,Climate and Equitable Jobs Act (CEJA),Raised to 50% by 2040 with interim targets,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
KS,2009,2011,20.0,2020,1,HB 2369 (2009),20% by 2020,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
KS,2015,2015,0.0,NA,0,SB 91 (2015),Made voluntary in 2015; no longer a mandatory RPS,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
MA,1997,2003,4.0,2009,1,Massachusetts Electric Restructuring Act,Original 4% by 2009,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
MA,2008,2008,15.0,2020,1,Green Communities Act,15% by 2020,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
MA,2018,2018,35.0,2030,1,Act H 4857 (2018),35% by 2030,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
MD,2004,2006,7.5,2019,1,Maryland Renewable Energy Portfolio Standard Act,Original 7.5% target,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
MD,2017,2017,25.0,2020,1,HB 1106 (2017),Raised to 25% by 2020,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
MD,2019,2019,50.0,2030,1,Clean Energy Jobs Act (2019),50% by 2030,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
ME,1999,2000,30.0,2000,1,Maine RPS (1999),Original 30% target (high due to existing hydro),LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
ME,2019,2019,80.0,2030,1,LD 1494 (2019),80% by 2030 and 100% by 2050,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
MI,2008,2008,10.0,2015,1,PA 295 (2008),Original 10% by 2015,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
MI,2016,2016,15.0,2021,1,PA 342 (2016),15% by 2021,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
MI,2023,2023,100.0,2040,1,PA 235 (2023),100% clean by 2040,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
MN,2007,2008,25.0,2025,1,Next Generation Energy Act,Original 25% by 2025,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
MN,2023,2023,100.0,2040,1,HF 7 (2023),100% carbon-free by 2040,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
MO,2008,2008,15.0,2021,1,Prop C (2008 ballot initiative),15% by 2021,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
MT,2005,2008,15.0,2015,1,Renewable Power Production and Rural Economic Development Act,15% by 2015,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
NC,2007,2010,12.5,2021,1,SB 3 (2007),12.5% by 2021,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
NH,2007,2008,23.8,2025,1,RSA 362-F,23.8% by 2025,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
NJ,2001,2001,6.5,2008,1,Electric Discount and Energy Competition Act,Original 6.5% target,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
NJ,2012,2012,22.5,2021,1,AB 3520 (2012),22.5% by 2021,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
NJ,2018,2018,50.0,2030,1,Clean Energy Act,50% by 2030 with 100% clean by 2050 goal,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
NM,2002,2002,10.0,2011,1,NM Efficient Use of Energy Act,Original 10% target,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
NM,2007,2007,20.0,2020,1,SB 418 (2007),Raised to 20% by 2020,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
NM,2019,2019,100.0,2045,1,Energy Transition Act,100% zero-carbon by 2045,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
NV,1997,2001,15.0,2025,1,AB 366 (1997),Original 15% by 2025,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
NV,2019,2019,50.0,2030,1,SB 358 (2019),50% by 2030,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
NY,2004,2006,24.0,2013,1,New York RPS Order,Original 24% target,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
NY,2015,2015,50.0,2030,1,Clean Energy Standard,50% by 2030,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
NY,2019,2019,70.0,2030,1,Climate Leadership and Community Protection Act (CLCPA),70% by 2030 and 100% carbon-free by 2040,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
OH,2008,2009,12.5,2026,1,SB 221 (2008),12.5% by 2026 (frozen 2014 then modified),LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
OR,2007,2011,25.0,2025,1,SB 838 (2007),Original 25% by 2025,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
OR,2016,2016,50.0,2040,1,SB 1547 (2016),50% by 2040,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
OR,2021,2021,100.0,2040,1,HB 2021 (2021),100% clean by 2040,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
PA,2004,2005,18.0,2021,1,Alternative Energy Portfolio Standards Act,18% by 2021 including alternative sources,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
RI,2004,2007,16.0,2020,1,Rhode Island Renewable Energy Standard,16% by 2020,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
RI,2016,2016,38.5,2035,1,HB 7413 (2016),38.5% by 2035,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
RI,2022,2022,100.0,2033,1,Act on Climate / 2022 RPS law,100% by 2033,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
TX,1999,2002,2.0,2009,1,SB 7 (1999),Original 2000 MW by 2009 target,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
TX,2005,2005,10.0,2025,1,SB 20 (2005),5880 MW by 2015 and 10000 MW target,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
VA,2020,2021,100.0,2045,1,Virginia Clean Economy Act (VCEA),100% clean by 2045 (2050 for APCo),LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
VT,2015,2017,75.0,2032,1,Act 56 (2015),Vermont Renewable Energy Standard 75% by 2032,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
WA,2006,2012,15.0,2020,1,Initiative 937 (2006),15% by 2020,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
WA,2019,2019,100.0,2045,1,Clean Energy Transformation Act (CETA),100% carbon-free by 2045,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
WI,2005,2006,10.0,2015,1,Act 141 (2005),10% by 2015,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
