state_abb,state_name,pcap_submitted,submission_year,source_name,source_url,access_date,verification_status
MN,Minnesota,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
MS,Mississippi,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
MO,Missouri,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
MT,Montana,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
NE,Nebraska,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
NV,Nevada,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
NH,New Hampshire,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
NJ,New Jersey,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
NM,New Mexico,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
NY,New York,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
NC,North Carolina,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
ND,North Dakota,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
OH,Ohio,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
OK,Oklahoma,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
OR,Oregon,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
PA,Pennsylvania,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
RI,Rhode Island,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
SC,South Carolina,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
SD,South Dakota,0,,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
TN,Tennessee,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
TX,Texas,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
UT,Utah,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
VT,Vermont,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
VA,Virginia,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
WA,Washington,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
WV,West Virginia,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
WI,Wisconsin,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
WY,Wyoming,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
