year,fips7,city_name,opinion_affectweather,opinion_citizens,opinion_congress,opinion_consensus,opinion_corporations,opinion_devharm,opinion_discuss,opinion_exp,opinion_fundrenewables,opinion_futuregen,opinion_generaterenewable,opinion_governor,opinion_happening,opinion_harmplants,opinion_harmus,opinion_human,opinion_localofficials,opinion_personal,opinion_priority,opinion_reducetax,opinion_regulate,opinion_teachgw,opinion_timing,opinion_worried
2021,667000,san francisco,78.71,76.01,76.44,78.69,81.26,81.65,53.5,60.08,84.06,83.89,,64.31,86.75,84.84,76.85,73.7,65.88,58.81,75.59,75.26,78.39,85.35,75.04,80.93
2022,667000,san francisco,76.92,72.14,74.26,77.07,79.06,80.63,53.38,59.92,86.0,83.12,87.63,62.55,85.46,83.57,75.06,73.59,64.37,57.51,72.82,75.93,80.92,84.17,74.03,79.59
2023,667000,san francisco,78.17,71.61,76.31,77.51,79.75,80.05,54.83,59.46,86.87,82.81,86.8,63.05,87.15,83.11,74.02,74.96,65.38,58.33,75.5,76.99,81.1,83.05,74.88,80.17
2013,668000,san jose,,,,,,,,,,,,,,,,,,,,,,,,
2014,668000,san jose,,,,50.0,,62.0,,,82.0,72.0,,,73.0,,58.0,58.0,,40.0,,,78.0,,48.0,61.0
2015,668000,san jose,,,,55.045,,67.4,,,84.11,75.32,,,76.10499999999999,,62.335,60.865,,44.125,,,77.44,,53.81,64.67
2016,668000,san jose,,,,60.09,,72.8,42.0,,86.22,78.64,,,79.21,77.17,66.67,63.73,,48.25,,,76.88,82.21,59.62,68.34
2017,668000,san jose,,,,61.245000000000005,,72.47999999999999,43.965,,87.325,78.82,,,79.655,77.94,66.86500000000001,65.89,,48.72,,,78.13,82.495,59.405,69.92
2018,668000,san jose,73.3,71.23,71.16,62.4,75.01,72.16,45.93,,88.43,79.0,,53.11,80.1,78.71,67.06,68.05,60.92,49.19,,71.02,79.38,82.78,59.19,71.5
2019,668000,san jose,70.6,70.03,70.1,64.22,76.88,73.37,46.34,,87.95,77.48,,53.51,78.59,77.88,66.9,64.74,60.88,50.69,,69.88,75.06,80.07,57.15,71.06
2020,668000,san jose,76.55,70.81,70.06,68.37,77.21,76.26,45.94,,90.17,81.21,,51.01,82.38,80.2,70.34,69.13,59.6,52.48,66.39,71.87,77.36,81.33,65.37,74.4
2021,668000,san jose,77.03,72.5,71.02,70.82,77.47,79.45,46.2,57.52,84.66,81.8,,56.55,82.56,80.75,74.5,69.92,64.19,56.85,69.5,72.11,75.83,81.94,68.82,76.29
2022,668000,san jose,74.64,69.29,68.83,69.4,75.03,78.99,45.96,57.77,85.99,80.94,87.0,54.0,81.18,79.89,73.46,69.57,61.43,55.6,66.54,71.8,77.97,80.58,68.18,74.88
2023,668000,san jose,75.69,69.81,71.48,70.28,76.07,78.88,47.45,58.52,86.93,81.3,85.93,55.18,83.4,80.06,72.72,71.38,62.91,56.43,70.06,74.31,78.67,80.55,68.57,75.91
2013,668084,san leandro,,,,,,,,,,,,,,,,,,,,,,,,
2017,668084,san leandro,,,,69.58,,76.475,49.58,,87.785,81.92,,,84.11500000000001,81.86500000000001,71.79499999999999,70.21000000000001,,53.305,,,82.11,87.655,63.675,75.07
2019,668084,san leandro,70.96,76.25,76.31,74.11,80.91,77.54,53.07,,87.45,80.49,,68.14,82.96,81.64,72.34,69.5,64.62,55.07,,78.15,79.05,87.57,62.12,76.36
2020,668084,san leandro,75.69,75.09,74.34,76.58,80.25,80.01,52.77,,89.44,82.97,,63.55,86.13,83.58,75.75,73.56,62.14,55.84,73.51,78.48,81.05,86.78,70.52,79.21
2021,668084,san leandro,77.58,76.83,75.61,78.43,80.95,82.97,53.3,62.46,83.26,83.77,,65.08,86.4,84.71,79.8,73.19,66.66,59.64,75.72,77.15,78.86,86.72,73.2,80.68
2022,668084,san leandro,75.42,73.32,73.54,75.98,78.58,82.14,52.43,62.17,85.48,83.18,86.25,62.64,84.69,83.7,78.32,72.29,64.77,58.04,72.42,77.58,80.83,85.21,72.26,79.01
2023,668084,san leandro,76.08,72.7,75.39,75.51,79.12,81.74,53.73,61.86,86.06,83.01,86.01,63.34,86.1,83.34,77.62,72.66,66.08,58.28,74.82,79.02,81.29,84.59,72.8,78.97
2013,668196,san marcos,,,,,,,,,,,,,,,,,,,,,,,,
2017,668196,san marcos,,,,53.07,,67.755,39.475,,82.96000000000001,73.18,,,72.93,74.13,62.39,56.71,,43.47,,,76.97,80.44,54.04,64.03
2022,668196,san marcos,64.5,62.65,59.21,59.4,69.35,73.61,41.66,51.01,79.67,74.19,82.48,49.82,74.34,75.59,67.1,58.5,56.39,48.86,56.67,67.93,74.8,77.46,62.99,68.58
2013,668364,san rafael,,,,,,,,,,,,,,,,,,,,,,,,
2017,668364,san rafael,,,,63.975,,72.16499999999999,49.27,,87.035,78.97999999999999,,,80.27000000000001,79.03,66.62,64.16,,45.83,,,80.13,85.32,59.095,69.195
2022,668364,san rafael,72.56,70.31,68.16,70.22,75.33,77.18,50.55,56.09,84.12,79.14,85.25,54.12,80.78,79.48,71.96,65.57,59.23,51.13,63.56,70.92,78.52,82.33,67.46,72.98
2013,668378,san ramon,,,,,,,,,,,,,,,,,,,,,,,,
2017,668378,san ramon,,,,62.79,,71.405,46.695,,85.16,75.58500000000001,,,78.515,76.475,67.05000000000001,61.395,,48.17,,,78.66,84.945,61.165,68.81
2022,668378,san ramon,74.24,66.65,64.11,70.28,71.53,76.94,48.85,58.0,83.3,77.8,83.73,56.56,79.54,78.38,72.26,62.9,61.63,54.42,65.01,74.57,78.03,83.37,70.07,73.32
2013,669000,santa ana,,,,,,,,,,,,,,,,,,,,,,,,
2014,669000,santa ana,,,,45.0,,59.0,,,78.0,68.0,,,68.0,,57.0,54.0,,39.0,,,77.0,,45.0,57.0
2015,669000,santa ana,,,,48.395,,62.39,,,79.72999999999999,71.05,,,70.16499999999999,,58.72,55.225,,41.475,,,75.805,,49.120000000000005,58.61
2016,669000,santa ana,,,,51.79,,65.78,35.79,,81.46,74.1,,,72.33,74.17,60.44,56.45,,43.95,,,74.61,78.59,53.24,60.22
2017,669000,santa ana,,,,51.57,,65.975,36.57,,82.26499999999999,74.52,,,72.25,74.875,61.595,59.040000000000006,,45.52,,,75.975,79.235,52.775000000000006,62.18
2018,669000,santa ana,64.89,65.68,63.75,51.35,68.07,66.17,37.35,,83.07,74.94,,55.76,72.17,75.58,62.75,61.63,57.76,47.09,,69.83,77.34,79.88,52.31,64.14
2019,669000,santa ana,62.27,65.82,62.73,52.85,70.14,66.08,38.5,,81.44,72.17,,54.2,68.86,74.22,61.8,56.9,57.19,48.5,,66.78,72.41,79.36,48.74,63.48
2020,669000,santa ana,67.18,66.28,61.9,56.8,71.07,68.93,38.79,,84.81,75.38,,50.7,73.6,76.73,65.11,61.49,55.65,49.15,52.76,68.33,74.48,81.2,57.06,66.87
2021,669000,santa ana,67.59,68.07,63.45,59.55,71.79,71.99,39.65,52.14,76.55,75.53,,54.37,73.56,76.88,68.75,61.04,60.18,52.61,56.07,68.44,72.18,80.41,60.89,69.0
2022,669000,santa ana,64.83,64.12,60.56,57.97,68.76,71.02,38.98,51.57,76.9,74.53,81.23,50.5,71.96,75.6,67.14,60.67,57.26,50.59,52.22,67.7,73.2,77.51,59.7,67.22
2023,669000,santa ana,64.96,64.03,63.52,57.83,69.61,70.36,39.91,51.09,77.6,74.25,78.95,51.89,73.52,74.87,65.87,61.82,58.62,51.58,56.96,69.93,73.59,76.53,59.6,67.86
2013,669070,santa barbara,,,,,,,,,,,,,,,,,,,,,,,,
2014,669070,santa barbara,,,,50.0,,61.0,,,79.0,68.0,,,70.0,,59.0,54.0,,42.0,,,77.0,,48.0,62.0
2015,669070,santa barbara,,,,53.010000000000005,,65.77000000000001,,,80.475,71.33500000000001,,,72.545,,62.025,56.870000000000005,,44.595,,,76.025,,52.975,63.925
2016,669070,santa barbara,,,,56.02,,70.54,40.77,,81.95,74.67,,,75.09,74.99,65.05,59.74,,47.19,,,75.05,84.11,57.95,65.85
2017,669070,santa barbara,,,,57.07,,70.92500000000001,42.575,,83.505,75.93,,,76.03,76.625,66.405,62.755,,47.865,,,77.125,84.445,58.825,67.86
2018,669070,santa barbara,68.77,70.84,68.81,58.12,73.38,71.31,44.38,,85.06,77.19,,58.78,76.97,78.26,67.76,65.77,60.83,48.54,,74.05,79.2,84.78,59.7,69.87
2019,669070,santa barbara,66.04,69.95,66.3,60.26,73.82,71.46,44.26,,83.64,75.2,,59.3,74.19,76.64,66.42,62.58,60.23,49.23,,72.67,74.46,83.29,56.01,68.22
2020,669070,santa barbara,71.44,70.82,66.39,64.1,75.46,74.13,45.19,,86.92,77.85,,55.78,78.47,78.79,69.81,66.51,58.09,50.45,62.06,74.03,76.89,83.38,64.93,71.11
2021,669070,santa barbara,72.45,72.61,67.59,66.32,75.21,77.02,46.48,56.33,79.49,77.75,,59.08,78.62,78.54,72.62,66.28,63.36,54.52,65.3,72.85,74.24,83.56,68.66,73.52
2022,669070,santa barbara,68.15,67.96,64.38,62.46,72.52,74.8,43.99,53.86,80.2,75.66,82.96,55.3,75.98,76.14,69.16,64.59,59.4,51.03,61.09,70.64,75.15,80.0,66.02,70.64
2023,669070,santa barbara,67.62,66.92,65.34,61.01,72.21,73.38,44.33,52.85,80.12,74.41,81.0,55.44,76.27,74.71,66.87,64.62,60.1,51.08,63.3,71.83,75.45,78.81,64.92,69.73
2013,669084,santa clara,,,,,,,,,,,,,,,,,,,,,,,,
2014,669084,santa clara,,,,50.0,,62.0,,,82.0,72.0,,,73.0,,58.0,58.0,,40.0,,,78.0,,48.0,61.0
2015,669084,santa clara,,,,55.045,,67.4,,,84.11,75.32,,,76.10499999999999,,62.335,60.865,,44.125,,,77.44,,53.81,64.67
2016,669084,santa clara,,,,60.09,,72.8,42.0,,86.22,78.64,,,79.21,77.17,66.67,63.73,,48.25,,,76.88,82.21,59.62,68.34
2017,669084,santa clara,,,,61.245000000000005,,72.47999999999999,43.965,,87.325,78.82,,,79.655,77.94,66.86500000000001,65.89,,48.72,,,78.13,82.495,59.405,69.92
2018,669084,santa clara,73.3,71.23,71.16,62.4,75.01,72.16,45.93,,88.43,79.0,,53.11,80.1,78.71,67.06,68.05,60.92,49.19,,71.02,79.38,82.78,59.19,71.5
2019,669084,santa clara,70.6,70.03,70.1,64.22,76.88,73.37,46.34,,87.95,77.48,,53.51,78.59,77.88,66.9,64.74,60.88,50.69,,69.88,75.06,80.07,57.15,71.06
2020,669084,santa clara,76.55,70.81,70.06,68.37,77.21,76.26,45.94,,90.17,81.21,,51.01,82.38,80.2,70.34,69.13,59.6,52.48,66.39,71.87,77.36,81.33,65.37,74.4
2021,669084,santa clara,77.03,72.5,71.02,70.82,77.47,79.45,46.2,57.52,84.66,81.8,,56.55,82.56,80.75,74.5,69.92,64.19,56.85,69.5,72.11,75.83,81.94,68.82,76.29
2022,669084,santa clara,74.64,69.29,68.83,69.4,75.03,78.99,45.96,57.77,85.99,80.94,87.0,54.0,81.18,79.89,73.46,69.57,61.43,55.6,66.54,71.8,77.97,80.58,68.18,74.88
2023,669084,santa clara,75.69,69.81,71.48,70.28,76.07,78.88,47.45,58.52,86.93,81.3,85.93,55.18,83.4,80.06,72.72,71.38,62.91,56.43,70.06,74.31,78.67,80.55,68.57,75.91
2013,669196,santa maria,,,,,,,,,,,,,,,,,,,,,,,,
2017,669196,santa maria,,,,57.07,,70.92500000000001,42.575,,83.505,75.93,,,76.03,76.625,66.405,62.755,,47.865,,,77.125,84.445,58.825,67.86
2022,669196,santa maria,68.15,67.96,64.38,62.46,72.52,74.8,43.99,53.86,80.2,75.66,82.96,55.3,75.98,76.14,69.16,64.59,59.4,51.03,61.09,70.64,75.15,80.0,66.02,70.64
2017,670224,santee,,,,53.07,,67.755,39.475,,82.96000000000001,73.18,,,72.93,74.13,62.39,56.71,,43.47,,,76.97,80.44,54.04,64.03
2022,670224,santee,64.5,62.65,59.21,59.4,69.35,73.61,41.66,51.01,79.67,74.19,82.48,49.82,74.34,75.59,67.1,58.5,56.39,48.86,56.67,67.93,74.8,77.46,62.99,68.58
2013,672016,simi valley,,,,,,,,,,,,,,,,,,,,,,,,
2017,672016,simi valley,,,,53.260000000000005,,66.21000000000001,38.725,,83.66499999999999,73.0,,,73.815,73.64,62.225,57.315,,44.515,,,76.725,80.125,53.605,64.19
2019,672016,simi valley,63.59,64.37,57.91,56.39,68.69,65.28,41.01,,84.19,70.44,,54.65,70.24,72.35,61.66,54.74,57.01,45.54,,67.87,72.77,77.78,50.71,64.52
2020,672016,simi valley,68.37,64.27,57.76,58.48,70.2,67.66,40.57,,87.0,72.37,,50.88,74.13,73.62,63.97,58.73,53.79,45.16,53.62,69.96,74.3,77.13,58.32,66.6
2021,672016,simi valley,70.11,66.2,60.98,61.41,70.42,70.95,41.78,50.97,80.08,73.09,,54.79,75.99,74.52,67.41,59.69,59.91,50.04,58.63,69.49,72.65,78.44,61.87,69.81
2022,672016,simi valley,67.18,62.94,59.75,58.76,69.18,70.79,40.81,49.89,81.96,72.82,82.67,51.69,75.02,73.69,65.72,58.13,56.57,47.71,56.06,68.84,74.69,76.63,60.9,68.14
2023,672016,simi valley,69.56,62.44,63.04,60.78,70.27,70.66,41.89,50.63,82.8,73.39,80.21,52.92,78.29,73.72,64.86,60.23,57.87,49.54,61.38,71.26,75.33,76.95,62.04,69.31
2013,675000,stockton,,,,,,,,,,,,,,,,,,,,,,,,
2014,675000,stockton,,,,45.0,,58.0,,,77.0,68.0,,,70.0,,57.0,56.0,,40.0,,,76.0,,47.0,61.0
2015,675000,stockton,,,,49.375,,62.71,,,79.625,70.515,,,72.72,,60.055,57.055,,43.185,,,75.255,,51.73,62.75
2016,675000,stockton,,,,53.75,,67.42,35.63,,82.25,73.03,,,75.44,74.61,63.11,58.11,,46.37,,,74.51,81.16,56.46,64.5
2017,675000,stockton,,,,54.66,,67.13,36.265,,83.34,73.005,,,75.225,74.775,63.59,59.775,,46.81,,,75.405,81.795,56.13,65.575
2018,675000,stockton,64.69,66.56,69.01,55.57,71.55,66.84,36.9,,84.43,72.98,,57.16,75.01,74.94,64.07,61.44,59.09,47.25,,69.25,76.3,82.43,55.8,66.65
2019,675000,stockton,62.17,66.06,68.54,59.15,73.41,66.78,37.9,,83.53,70.15,,57.6,71.97,73.22,62.79,57.55,59.17,47.26,,66.94,71.33,80.8,53.03,65.58
2020,675000,stockton,65.95,64.82,65.38,59.57,72.19,68.66,36.91,,85.47,72.02,,51.94,74.95,74.49,65.28,61.0,55.51,47.02,54.02,68.44,72.96,80.71,60.21,67.43
2021,675000,stockton,67.08,67.24,67.82,62.4,73.03,71.59,37.67,49.94,78.06,72.05,,56.35,75.25,74.8,68.78,60.52,61.17,51.46,58.77,68.74,71.2,79.78,64.01,69.88
2022,675000,stockton,61.03,61.21,64.79,56.03,68.58,68.44,35.14,46.98,78.58,69.73,77.25,52.37,70.72,71.76,64.98,57.33,56.32,47.98,53.91,64.87,71.22,74.81,60.06,65.55
2023,675000,stockton,62.11,61.21,67.47,56.98,69.97,68.18,36.29,47.48,79.58,69.88,75.96,53.3,73.19,71.64,64.14,59.27,57.94,49.3,58.19,67.12,71.83,74.87,60.35,66.44
2021,677000,sunnyvale,77.03,72.5,71.02,70.82,77.47,79.45,46.2,57.52,84.66,81.8,,56.55,82.56,80.75,74.5,69.92,64.19,56.85,69.5,72.11,75.83,81.94,68.82,76.29
2022,677000,sunnyvale,74.64,69.29,68.83,69.4,75.03,78.99,45.96,57.77,85.99,80.94,87.0,54.0,81.18,79.89,73.46,69.57,61.43,55.6,66.54,71.8,77.97,80.58,68.18,74.88
2023,677000,sunnyvale,75.69,69.81,71.48,70.28,76.07,78.88,47.45,58.52,86.93,81.3,85.93,55.18,83.4,80.06,72.72,71.38,62.91,56.43,70.06,74.31,78.67,80.55,68.57,75.91
2013,680000,torrance,,,,,,,,,,,,,,,,,,,,,,,,
2014,680000,torrance,,,,48.0,,63.0,,,77.0,70.0,,,69.0,,61.0,58.0,,45.0,,,78.0,,48.0,65.0
2015,680000,torrance,,,,52.615,,66.94,,,78.56,72.81,,,71.61500000000001,,64.02000000000001,59.545,,48.41,,,76.88,,52.91,66.42
2016,680000,torrance,,,,57.23,,70.88,38.29,,80.12,75.62,,,74.23,74.88,67.04,61.09,,51.82,,,75.76,82.28,57.82,67.84
2017,680000,torrance,,,,57.4,,70.53,39.23,,81.36500000000001,76.11,,,74.135,75.845,67.4,62.85,,52.915,,,77.03999999999999,82.705,57.725,69.105
2018,680000,torrance,66.89,67.35,64.72,57.57,68.05,70.18,40.17,,82.61,76.6,,56.1,74.04,76.81,67.76,64.61,60.58,54.01,,69.45,78.32,83.13,57.63,70.37
2019,680000,torrance,64.92,66.67,63.32,57.96,69.46,69.67,40.88,,81.71,73.79,,57.22,69.85,74.92,66.2,60.05,59.7,54.2,,67.9,73.44,79.74,55.11,68.97
2020,680000,torrance,69.62,67.06,62.34,61.85,70.17,72.93,40.97,,84.88,76.99,,53.99,74.9,77.74,69.47,64.74,57.15,54.56,61.33,70.36,75.77,80.38,63.6,71.74
2021,680000,torrance,71.15,69.33,64.88,63.9,71.08,75.6,41.68,55.42,77.15,77.56,,59.3,76.3,78.61,72.86,64.8,63.89,59.3,65.6,70.66,74.02,81.36,66.49,74.1
2022,680000,torrance,68.62,66.89,63.06,61.85,69.33,74.62,41.23,55.03,79.8,76.66,82.36,56.6,74.43,77.52,71.05,64.01,61.2,57.6,62.3,70.36,76.75,79.65,65.29,72.67
2023,680000,torrance,69.98,67.37,66.59,62.53,71.04,74.12,42.46,55.76,80.59,76.67,80.66,58.05,76.59,77.34,70.26,65.84,62.85,58.57,66.63,72.71,77.61,79.38,65.88,73.72
2013,680238,tracy,,,,,,,,,,,,,,,,,,,,,,,,
2017,680238,tracy,,,,54.66,,67.13,36.265,,83.34,73.005,,,75.225,74.775,63.59,59.775,,46.81,,,75.405,81.795,56.13,65.575
2022,680238,tracy,61.03,61.21,64.79,56.03,68.58,68.44,35.14,46.98,78.58,69.73,77.25,52.37,70.72,71.76,64.98,57.33,56.32,47.98,53.91,64.87,71.22,74.81,60.06,65.55
2017,680812,turlock,,,,48.98,,63.23,34.775,,80.7,70.985,,,69.53999999999999,71.075,60.39,57.72,,44.370000000000005,,,75.75999999999999,78.095,52.555,62.315
2022,680812,turlock,59.62,60.31,61.53,53.56,66.1,67.08,35.21,42.67,74.71,70.37,75.97,49.64,66.75,70.38,64.97,58.48,54.29,48.51,56.64,64.49,72.42,71.82,59.01,65.45
2017,681204,union city,,,,69.58,,76.475,49.58,,87.785,81.92,,,84.11500000000001,81.86500000000001,71.79499999999999,70.21000000000001,,53.305,,,82.11,87.655,63.675,75.07
2022,681204,union city,75.42,73.32,73.54,75.98,78.58,82.14,52.43,62.17,85.48,83.18,86.25,62.64,84.69,83.7,78.32,72.29,64.77,58.04,72.42,77.58,80.83,85.21,72.26,79.01
2017,681344,upland,,,,47.53,,67.00999999999999,35.095,,83.41499999999999,73.425,,,74.56,73.565,63.165,57.56,,47.38,,,79.42500000000001,82.64,57.15,65.455
2019,681344,upland,63.08,65.95,65.52,49.51,72.86,67.03,36.92,,83.0,70.97,,62.2,72.69,72.54,62.28,55.27,61.92,48.86,,70.83,75.84,81.94,53.86,65.86
2020,681344,upland,67.93,66.6,64.86,53.08,73.78,69.56,37.0,,84.58,73.78,,57.72,77.33,74.72,65.46,59.72,59.21,49.57,60.12,72.26,77.65,82.48,61.76,68.42
2021,681344,upland,68.21,67.99,66.55,54.72,73.39,72.62,38.15,50.78,76.5,74.02,,59.43,77.07,74.96,68.91,59.43,62.65,53.85,64.55,70.38,74.66,81.69,65.04,71.31
2022,681344,upland,64.02,63.85,64.77,52.39,71.28,71.07,36.28,49.49,78.37,72.97,80.14,56.84,74.74,73.37,66.85,58.23,59.69,51.52,60.22,68.6,76.56,78.59,63.52,69.14
2023,681344,upland,65.47,64.56,67.74,53.14,73.06,71.06,36.92,49.71,79.55,73.42,79.14,57.35,77.05,73.78,66.04,59.86,61.4,52.55,64.19,70.68,76.75,78.47,63.84,70.11
2013,681554,vacaville,,,,,,,,,,,,,,,,,,,,,,,,
2017,681554,vacaville,,,,52.525000000000006,,67.98,36.375,,84.035,74.695,,,73.075,75.09,64.01,59.225,,45.31,,,78.14,82.425,56.215,63.975
2019,681554,vacaville,62.86,67.33,62.55,53.06,72.35,66.39,38.45,,84.02,71.91,,56.26,68.57,73.29,62.93,56.57,59.59,44.9,,70.46,74.48,81.36,52.35,63.42
2020,681554,vacaville,67.28,67.45,61.91,56.63,72.97,69.09,38.65,,86.85,74.53,,51.98,72.34,75.29,66.2,60.48,56.73,45.44,54.25,72.27,76.32,82.16,60.41,66.1
2021,681554,vacaville,68.7,69.3,64.38,59.47,73.35,71.59,39.89,52.16,79.78,74.76,,56.49,73.41,75.78,69.43,60.28,62.28,49.54,59.12,71.61,74.14,81.69,63.46,68.89
2022,681554,vacaville,65.32,65.1,60.39,57.25,70.06,70.45,37.85,49.93,80.4,73.3,82.53,52.08,71.06,73.78,66.82,58.76,58.0,46.57,54.46,69.36,75.25,78.2,61.29,65.74
2023,681554,vacaville,65.76,65.06,63.63,57.11,71.34,69.89,39.07,49.91,81.19,73.34,80.45,53.23,73.14,73.58,65.85,60.73,59.3,48.32,58.85,71.02,75.72,77.88,61.61,66.28
2013,681666,vallejo,,,,,,,,,,,,,,,,,,,,,,,,
2017,681666,vallejo,,,,52.525000000000006,,67.98,36.375,,84.035,74.695,,,73.075,75.09,64.01,59.225,,45.31,,,78.14,82.425,56.215,63.975
2022,681666,vallejo,65.32,65.1,60.39,57.25,70.06,70.45,37.85,49.93,80.4,73.3,82.53,52.08,71.06,73.78,66.82,58.76,58.0,46.57,54.46,69.36,75.25,78.2,61.29,65.74
2013,682996,vista,,,,,,,,,,,,,,,,,,,,,,,,
2017,682996,vista,,,,53.07,,67.755,39.475,,82.96000000000001,73.18,,,72.93,74.13,62.39,56.71,,43.47,,,76.97,80.44,54.04,64.03
2022,682996,vista,64.5,62.65,59.21,59.4,69.35,73.61,41.66,51.01,79.67,74.19,82.48,49.82,74.34,75.59,67.1,58.5,56.39,48.86,56.67,67.93,74.8,77.46,62.99,68.58
2013,684550,westminster,,,,,,,,,,,,,,,,,,,,,,,,
2017,684550,westminster,,,,51.57,,65.975,36.57,,82.26499999999999,74.52,,,72.25,74.875,61.595,59.040000000000006,,45.52,,,75.975,79.235,52.775000000000006,62.18
2022,684550,westminster,64.83,64.12,60.56,57.97,68.76,71.02,38.98,51.57,76.9,74.53,81.23,50.5,71.96,75.6,67.14,60.67,57.26,50.59,52.22,67.7,73.2,77.51,59.7,67.22
2013,684816,west sacramento,,,,,,,,,,,,,,,,,,,,,,,,
2017,684816,west sacramento,,,,59.645,,71.78,45.260000000000005,,85.8,78.025,,,79.125,79.04499999999999,67.68,63.99,,48.88,,,79.255,85.24,59.545,70.49000000000001
2022,684816,west sacramento,70.6,69.01,67.0,64.75,74.34,75.45,46.16,53.46,82.17,77.21,82.62,54.63,77.81,78.27,71.08,64.73,59.3,52.25,63.57,71.78,77.23,80.87,65.65,72.51
2017,685292,whittier,,,,57.4,,70.53,39.23,,81.36500000000001,76.11,,,74.135,75.845,67.4,62.85,,52.915,,,77.03999999999999,82.705,57.725,69.105
2022,685292,whittier,68.62,66.89,63.06,61.85,69.33,74.62,41.23,55.03,79.8,76.66,82.36,56.6,74.43,77.52,71.05,64.01,61.2,57.6,62.3,70.36,76.75,79.65,65.29,72.67
2017,686328,woodland,,,,59.645,,71.78,45.260000000000005,,85.8,78.025,,,79.125,79.04499999999999,67.68,63.99,,48.88,,,79.255,85.24,59.545,70.49000000000001
2022,686328,woodland,70.6,69.01,67.0,64.75,74.34,75.45,46.16,53.46,82.17,77.21,82.62,54.63,77.81,78.27,71.08,64.73,59.3,52.25,63.57,71.78,77.23,80.87,65.65,72.51
2013,803455,arvada,,,,,,,,,,,,,,,,,,,,,,,,
2014,803455,arvada,,,,43.0,,54.0,,,79.0,61.0,,,62.0,,52.0,45.0,,34.0,,,74.0,,41.0,53.0
2015,803455,arvada,,,,47.005,,57.625,,,80.65,65.24000000000001,,,65.86,,54.31,48.24,,35.385000000000005,,,73.35,,44.92,55.505
2016,803455,arvada,,,,51.01,,61.25,36.64,,82.3,69.48,,,69.72,68.76,56.62,51.48,,36.77,,,72.7,78.94,48.84,58.01
2017,803455,arvada,,,,51.125,,60.83,37.44,,83.72,69.105,,,69.975,69.245,56.95,53.15,,36.94,,,74.265,78.62,48.760000000000005,59.375
2018,803455,arvada,58.7,63.63,58.54,51.24,67.48,60.41,38.24,,85.14,68.73,,51.36,70.23,69.73,57.28,54.82,55.33,37.11,,64.21,75.83,78.3,48.68,60.74
2022,803455,arvada,64.36,63.49,57.94,60.35,69.02,67.76,39.82,46.66,81.15,70.08,83.2,51.28,72.44,71.47,63.56,55.16,55.04,44.06,50.42,64.21,73.81,76.33,58.32,66.35
2013,804000,aurora,,,,,,,,,,,,,,,,,,,,,,,,
2014,804000,aurora,,,,43.0,,54.0,,,79.0,64.0,,,66.0,,53.0,51.0,,36.0,,,77.0,,44.0,54.0
2015,804000,aurora,,,,47.805,,58.64,,,81.22999999999999,67.535,,,69.02000000000001,,55.7,53.21,,38.175,,,75.85,,48.155,56.81
2016,804000,aurora,,,,52.61,,63.28,39.94,,83.46,71.07,,,72.04,71.14,58.4,55.42,,40.35,,,74.7,79.62,52.31,59.62
2017,804000,aurora,,,,53.38,,63.02,40.79,,84.43,70.87,,,72.33500000000001,71.515,58.945,57.35,,41.41,,,76.13,80.16,52.27,60.99
2018,804000,aurora,65.26,66.15,63.34,54.15,68.41,62.76,41.64,,85.4,70.67,,54.62,72.63,71.89,59.49,59.28,57.72,42.47,,67.21,77.56,80.7,52.23,62.36
2019,804000,aurora,61.91,64.66,60.78,53.97,69.23,62.14,41.21,,83.52,67.4,,54.36,68.2,69.29,57.75,54.82,55.99,43.57,,64.89,72.05,77.63,48.58,60.95
2020,804000,aurora,65.94,64.09,59.4,56.86,69.17,64.5,41.06,,86.02,69.0,,50.23,71.39,70.7,61.14,58.38,52.89,44.44,47.38,65.49,73.49,77.17,56.55,63.65
2021,804000,aurora,67.44,66.81,62.24,60.44,70.34,68.13,41.0,48.72,78.56,70.21,,56.19,73.03,71.86,64.89,58.96,59.48,49.2,52.43,64.52,72.05,78.56,59.76,67.18
2022,804000,aurora,66.78,64.3,60.4,59.84,69.15,69.23,41.53,48.2,80.44,71.12,80.32,53.72,72.74,72.5,64.1,59.27,56.74,47.85,49.85,66.39,74.35,77.62,59.46,66.14
2023,804000,aurora,67.76,64.25,63.53,60.21,70.4,69.1,43.35,48.34,81.33,71.41,78.83,54.68,74.46,72.54,62.59,61.22,58.22,48.97,54.17,68.55,75.11,76.77,59.81,66.81
2013,807850,boulder,,,,,,,,,,,,,,,,,,,,,,,,
2014,807850,boulder,,,,54.0,,61.0,,,82.0,68.0,,,71.0,,57.0,56.0,,38.0,,,78.0,,47.0,61.0
2015,807850,boulder,,,,58.745000000000005,,66.19,,,84.52000000000001,72.82,,,74.845,,61.32,58.6,,40.575,,,78.035,,51.875,64.39500000000001
2016,807850,boulder,,,,63.49,,71.38,45.15,,87.04,77.64,,,78.69,77.49,65.64,61.2,,43.15,,,78.07,83.91,56.75,67.79
2017,807850,boulder,,,,62.975,,70.19999999999999,45.835,,87.745,76.845,,,78.21000000000001,77.32499999999999,65.455,62.815000000000005,,43.68,,,78.97,84.175,56.68,68.505
2018,807850,boulder,69.33,70.61,67.17,62.46,74.14,69.02,46.52,,88.45,76.05,,57.42,77.73,77.16,65.27,64.43,59.8,44.21,,71.37,79.87,84.44,56.61,69.22
